country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","24-03-2026 13:00:00","28.594004 ","76.909423 ",NH3,12,16,13
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","24-03-2026 13:00:00","28.594004 ","76.909423 ",SO2,74,84,78
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-03-2026 13:00:00",28.570173,76.933762,NO2,79,115,99
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-03-2026 13:00:00",28.570173,76.933762,SO2,16,19,17
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-03-2026 13:00:00",28.822836,77.101981,PM10,54,478,202
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-03-2026 13:00:00",28.822836,77.101981,NO2,9,74,42
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-03-2026 13:00:00",28.822836,77.101981,CO,4,102,48
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","24-03-2026 13:00:00",28.580280,77.233829,PM10,89,360,166
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","24-03-2026 13:00:00",28.580280,77.233829,CO,1,179,86
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","24-03-2026 13:00:00",28.580280,77.233829,OZONE,2,181,37
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","24-03-2026 13:00:00",28.611281,77.237738,PM10,80,226,150
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","24-03-2026 13:00:00",28.636429,77.201067,PM10,77,168,126
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","24-03-2026 13:00:00",28.636429,77.201067,SO2,22,66,35
India,Delhi,Delhi,"Mundka, Delhi - DPCC","24-03-2026 13:00:00",28.684678,77.076574,NH3,6,15,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","24-03-2026 13:00:00",28.822836,77.101981,OZONE,8,70,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-03-2026 13:00:00",28.567890,77.250515,PM2.5,57,345,196
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-03-2026 13:00:00",28.567890,77.250515,SO2,3,110,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-03-2026 13:00:00",28.567890,77.250515,CO,74,117,107
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","24-03-2026 13:00:00",28.6573814,77.1585447,PM10,NA,NA,NA
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","24-03-2026 13:00:00",28.530785,77.271255,PM2.5,65,325,179
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","24-03-2026 13:00:00",28.530785,77.271255,CO,10,114,54
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","24-03-2026 13:00:00",28.623763,77.287209,OZONE,2,170,18
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","24-03-2026 13:00:00",28.674045,77.131023,NH3,3,6,5
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","24-03-2026 13:00:00",28.674045,77.131023,SO2,35,58,44
India,Delhi,Delhi,"Pusa, Delhi - DPCC","24-03-2026 13:00:00",28.639652,77.146275,NH3,7,17,13
India,Delhi,Delhi,"Pusa, Delhi - DPCC","24-03-2026 13:00:00",28.639652,77.146275,CO,57,108,75
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.710508,77.249485,SO2,41,88,61
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","24-03-2026 13:00:00",28.621810,77.1944633,PM2.5,63,271,146
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","24-03-2026 13:00:00",28.621810,77.1944633,NO2,2,29,15
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","24-03-2026 13:00:00",28.621810,77.1944633,NH3,5,7,6
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","24-03-2026 13:00:00",28.563262,77.186937,PM2.5,48,351,194
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","24-03-2026 13:00:00",28.563262,77.186937,NO2,20,113,57
India,Delhi,Delhi,"Rohini, Delhi - DPCC","24-03-2026 13:00:00",28.732528,77.119920,PM10,74,461,230
India,Delhi,Delhi,"Rohini, Delhi - DPCC","24-03-2026 13:00:00",28.732528,77.119920,NO2,12,104,60
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","24-03-2026 13:00:00",28.621810,77.1944633,CO,102,118,111
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","24-03-2026 13:00:00",28.672342,77.315260,PM10,85,415,184
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","24-03-2026 13:00:00",28.699793,77.165453,PM10,141,500,295
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","24-03-2026 13:00:00",28.542460,77.191651,PM10,82,182,138
India,Delhi,Delhi,"ITO, Delhi - CPCB","24-03-2026 13:00:00",28.628624,77.241060,PM2.5,59,257,134
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","24-03-2026 13:00:00",23.107969,72.574648,SO2,4,22,10
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-03-2026 13:00:00",20.362421,72.918013,NH3,4,4,4
